Sample_orig_name	Sample	Tissue_original	Tissue	Colours
Pl_085	Pl_1	CVS_placenta	Pl	dodgerblue
Pl_086	Pl_2	CVS_placenta	Pl	dodgerblue
Pl_087	Pl_3	CVS_placenta	Pl	dodgerblue
Pl_241	Pl_4	CVS_placenta	Pl	dodgerblue
Pl_246	Pl_5	CVS_placenta	Pl	dodgerblue
Pl_270	Pl_6	CVS_placenta	Pl	dodgerblue
Pl_278	Pl_7	CVS_placenta	Pl	dodgerblue
Pl_345	Pl_8	CVS_placenta	Pl	dodgerblue
TOrg_P041	TOrg_1	Trophoblast_organoids	TOrg	lightpink1
TOrg_P043_2	TOrg_2	Trophoblast_organoids	TOrg	lightpink1
TOrg_P046_2	TOrg_3	Trophoblast_organoids	TOrg	lightpink1
TOrg_R021	TOrg_4	Trophoblast_organoids	TOrg	lightpink1
TOrg_R028	TOrg_5	Trophoblast_organoids	TOrg	lightpink1
Str_N045	Str_1	Placental_stromal_cells	Str	springgreen
Str_N075	Str_2	Placental_stromal_cells	Str	springgreen
Str_N078	Str_3	Placental_stromal_cells	Str	springgreen
Str_N085	Str_4	Placental_stromal_cells	Str	springgreen
Str_R031	Str_5	Placental_stromal_cells	Str	springgreen
DOrg_M099	DOrg_1	Decidual_organoids	DOrg	mediumpurple
DOrg_M130	DOrg_2	Decidual_organoids	DOrg	mediumpurple
DOrg_M134	DOrg_3	Decidual_organoids	DOrg	mediumpurple
TOrg_P050	TOrg_Sync_1	Trophoblast_organoids_syncytial	Torg_syn	yellowgreen
FOrg_P041	FOrg_1	Fluffy_organoids	FOrg	coral
FOrg_P045	FOrg_2	Fluffy_organoids	FOrg	coral
